country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Andorra,1.72,1.77,1.78,1.76,1.81,1.86,1.94,2.12,2.19,2.28,2.30,2.41,2.56,2.87,3.09,3.32,3.47,3.48,3.18,3.06,2.90,2.76,2.72,2.73,2.79,2.81,2.86,2.91,2.96,3.03,3.10,3.17,3.24,3.32,3.40,3.48,3.57,3.66,3.75,3.85,3.95,4.05,4.15,4.26,4.37,4.48,4.59,4.71,4.84,4.96,5.09,5.22,5.35,5.48,5.61,5.75,5.89,6.03,6.16,6.30
Austria,238.38,246.29,251.10,253.14,259.31,266.80,273.46,279.93,289.59,299.54,310.36,314.70,318.90,322.55,330.06,338.24,350.82,363.68,366.86,354.69,361.59,371.81,373.67,374.47,376.99,381.27,388.94,399.57,410.39,416.67,422.00,427.25,432.12,437.45,442.86,448.12,453.66,459.31,465.35,471.50,477.62,483.66,489.58,495.36,501.13,506.87,512.72,518.55,524.61,530.68,536.73,542.80,548.92,555.03,561.20,567.43,573.70,580.02,586.37,592.77
Belgium,295.41,300.82,305.43,302.49,312.25,319.70,324.78,336.83,343.49,355.72,368.67,371.64,378.26,381.19,395.04,403.33,413.44,427.68,431.02,421.32,432.89,440.67,441.71,442.59,448.15,455.94,462.56,470.59,477.35,482.95,487.32,491.55,497.67,504.00,510.57,517.44,524.18,530.84,537.70,544.50,551.22,558.14,565.52,573.03,580.28,587.50,594.76,602.00,609.24,616.74,624.29,631.94,639.49,646.89,654.34,661.84,669.41,677.08,684.72,692.40
Cyprus,NA,NA,NA,NA,NA,12.58,12.73,13.07,13.87,14.56,15.43,16.04,16.64,17.07,17.93,18.80,19.69,20.69,21.44,21.01,21.29,21.38,20.76,19.56,19.30,19.68,20.63,21.55,22.39,23.05,23.53,23.99,24.43,24.89,25.41,25.97,26.56,27.14,27.71,28.28,28.87,29.48,30.11,30.76,31.43,32.12,32.82,33.54,34.28,35.05,35.84,36.64,37.43,38.25,39.09,39.94,40.81,41.72,42.64,43.58
Denmark,NA,204.82,208.83,208.85,219.99,226.65,233.22,240.83,246.17,253.42,262.92,265.08,266.32,267.36,274.49,280.91,291.90,294.55,293.04,278.67,283.88,287.67,288.33,291.02,295.73,302.66,309.92,316.93,321.65,327.45,332.33,337.42,342.03,346.74,351.67,357.02,362.51,368.07,373.51,378.92,384.21,389.62,395.01,400.42,405.88,411.50,417.29,423.13,429.09,435.05,441.08,447.16,453.37,459.72,466.09,472.62,479.31,486.13,493.02,500.02
Finland,156.71,147.44,142.54,141.49,147.07,153.26,158.86,168.80,177.96,185.87,196.34,201.41,204.79,208.88,217.08,223.11,232.16,244.20,245.96,225.62,232.37,238.35,234.95,233.16,231.69,232.85,239.31,246.59,250.68,253.40,256.04,258.70,261.15,265.33,269.43,273.75,278.78,284.59,290.18,295.24,300.29,304.96,310.50,316.26,322.51,328.44,334.15,340.06,346.47,352.85,359.24,365.99,373.00,379.77,386.50,393.14,400.11,407.07,414.39,421.63
France,1662.13,1678.72,1703.73,1693.10,1732.68,1770.83,1795.91,1837.51,1904.09,1966.67,2046.59,2087.76,2110.94,2128.76,2184.50,2221.93,2279.99,2335.06,2337.93,2272.87,2314.75,2366.60,2375.28,2389.50,2413.05,2438.15,2463.61,2522.29,2565.65,2597.61,2622.20,2648.78,2684.10,2724.69,2765.11,2808.08,2849.34,2889.59,2929.72,2970.15,3010.67,3051.76,3093.41,3135.07,3176.65,3218.20,3259.26,3300.68,3342.36,3384.13,3425.79,3467.34,3509.14,3551.35,3594.01,3637.76,3682.17,3726.91,3772.36,3818.54
Germany,2147.24,2467.60,2504.77,2479.96,2541.02,2582.06,2603.92,2652.36,2700.05,2747.22,2833.59,2884.89,2880.10,2859.41,2879.68,2905.66,3021.89,3114.98,3136.60,2959.66,3079.33,3202.19,3221.96,3239.53,3311.10,3360.55,3432.62,3527.65,3582.15,3600.17,3620.69,3656.61,3707.47,3759.57,3810.88,3861.81,3912.03,3961.38,4010.29,4059.48,4109.31,4159.87,4210.09,4260.18,4309.89,4359.62,4408.58,4457.79,4507.27,4557.98,4608.52,4659.44,4710.64,4762.12,4813.95,4866.35,4918.83,4971.62,5024.99,5078.88
Greece,157.89,162.79,163.93,161.30,164.53,168.50,173.36,181.28,188.37,194.00,201.82,210.27,218.58,231.24,242.47,244.31,257.94,266.13,265.45,254.02,240.24,218.15,202.19,195.73,197.22,196.28,195.77,198.59,202.42,205.50,208.93,212.73,216.49,219.65,222.49,225.11,227.81,230.81,233.86,237.00,240.10,243.31,246.47,249.45,252.35,255.13,258.08,261.03,264.10,267.33,270.41,273.43,276.39,279.46,282.54,285.63,288.74,291.88,295.08,298.34
Iceland,8.90,8.88,8.58,8.69,9.00,9.01,9.43,9.97,10.68,11.11,11.65,12.10,12.19,12.46,13.47,14.32,15.07,16.48,16.81,15.67,15.13,15.42,15.62,16.26,16.60,17.39,18.54,19.40,20.33,20.29,20.55,21.05,21.55,22.07,22.60,23.16,23.74,24.33,24.94,25.57,26.21,26.86,27.53,28.22,28.93,29.65,30.39,31.15,31.90,32.66,33.45,34.25,35.07,35.88,36.70,37.55,38.41,39.30,40.20,41.12
Ireland,NA,NA,NA,NA,NA,101.55,109.04,120.88,131.36,145.15,158.89,167.33,177.27,182.68,195.07,206.27,216.73,228.20,217.82,206.70,210.35,211.05,211.53,214.38,232.68,291.13,301.80,326.36,353.45,366.09,375.17,383.72,390.48,397.39,403.44,409.65,415.81,421.88,428.21,434.43,440.53,446.77,452.95,459.12,465.72,472.49,479.21,486.01,492.79,499.46,506.42,513.53,520.63,527.71,534.73,541.75,548.80,555.83,562.90,569.99
Italy,1569.10,1577.93,1588.97,1575.34,1611.27,1658.99,1678.92,1711.66,1736.47,1762.62,1832.92,1862.14,1866.70,1871.19,1896.93,1918.47,1958.76,1984.74,1963.89,1855.41,1885.91,1899.41,1845.23,1812.97,1816.44,1830.99,1853.54,1885.99,1899.72,1898.65,1894.55,1897.04,1906.15,1917.14,1928.25,1940.28,1952.24,1964.40,1977.00,1988.95,2000.43,2011.63,2022.57,2033.73,2043.95,2053.75,2062.99,2072.18,2080.88,2089.97,2098.99,2108.11,2117.31,2126.52,2135.73,2144.91,2154.05,2163.18,2172.35,2181.54
Liechtenstein,3.29,3.47,3.50,3.52,3.61,3.68,3.84,4.24,4.53,5.00,5.16,5.12,5.07,4.97,5.12,5.37,5.85,6.40,6.22,5.57,5.98,5.74,5.80,6.08,6.27,6.27,6.39,6.44,6.56,6.64,6.74,6.86,7.00,7.14,7.29,7.44,7.58,7.72,7.85,7.99,8.13,8.27,8.41,8.56,8.70,8.84,8.99,9.14,9.28,9.43,9.57,9.72,9.87,10.02,10.18,10.34,10.50,10.65,10.81,10.98
Luxembourg,23.21,25.22,25.68,26.76,27.78,28.61,29.00,30.66,32.51,35.26,38.16,39.12,40.62,41.29,42.80,44.16,46.45,50.32,49.66,47.49,49.80,51.06,50.88,52.75,55.02,57.18,58.55,59.46,61.01,61.92,62.83,63.87,65.09,66.34,67.58,68.88,70.13,71.35,72.56,73.76,74.95,76.13,77.29,78.45,79.76,81.09,82.42,83.73,85.03,86.38,87.75,89.09,90.41,91.72,93.02,94.30,95.56,96.80,98.03,99.25
Malta,NA,NA,NA,NA,NA,5.11,5.28,5.55,5.84,6.11,6.64,6.69,6.90,7.08,7.11,7.38,7.52,7.83,8.08,7.88,8.16,8.28,8.50,8.90,9.67,10.71,11.32,12.08,12.89,13.33,13.82,14.32,14.79,15.23,15.72,16.25,16.77,17.25,17.71,18.19,18.66,19.07,19.51,19.94,20.32,20.71,21.09,21.46,21.84,22.23,22.62,23.01,23.42,23.83,24.24,24.65,25.07,25.50,25.94,26.39
Netherlands,466.09,477.52,485.11,491.25,506.02,522.48,538.75,563.03,588.70,617.70,644.15,659.17,660.61,662.01,673.67,687.51,712.38,739.23,755.33,727.59,737.02,748.37,740.66,740.07,750.65,765.37,781.71,805.31,825.81,839.32,849.75,860.32,873.63,887.52,901.44,915.66,929.54,943.08,956.74,971.10,985.23,999.17,1013.22,1027.52,1041.97,1056.62,1071.51,1086.82,1102.42,1118.43,1135.06,1152.25,1170.17,1188.79,1207.91,1227.35,1247.06,1266.98,1287.02,1307.18
Norway,211.26,217.79,225.60,231.93,243.54,253.83,266.64,280.67,288.11,293.83,303.28,309.44,313.35,316.44,329.02,337.97,346.23,356.35,357.08,352.50,354.01,358.07,367.24,371.21,379.17,386.07,387.85,398.18,404.62,409.30,415.93,423.39,429.96,436.28,442.13,448.41,454.96,461.90,469.05,476.49,483.53,490.72,498.20,505.45,512.69,519.77,527.01,534.47,542.12,549.91,557.81,565.54,573.38,581.52,589.60,597.91,606.44,615.14,624.16,633.39
Portugal,145.41,151.76,153.41,150.28,151.73,158.52,164.06,171.32,179.53,186.51,193.58,197.34,198.86,197.00,200.57,202.11,205.25,210.36,210.78,204.50,208.38,204.58,196.34,194.12,195.85,199.42,203.26,208.94,213.42,217.10,219.95,222.75,225.77,228.95,232.10,234.96,237.71,240.57,243.47,246.25,248.98,251.65,254.34,257.02,259.62,262.18,264.75,267.46,270.19,272.79,275.37,277.99,280.63,283.29,285.93,288.60,291.28,293.99,296.75,299.54
Spain,737.92,756.67,763.66,755.75,773.78,794.00,815.24,845.32,881.72,921.26,969.98,1008.79,1037.85,1070.93,1104.84,1145.98,1193.81,1238.80,1252.65,1207.88,1208.05,1195.99,1160.97,1141.17,1156.92,1199.08,1237.13,1273.98,1306.87,1335.46,1356.78,1377.28,1398.44,1420.14,1441.59,1462.87,1484.04,1505.61,1527.63,1550.07,1571.97,1594.33,1616.22,1638.58,1660.45,1682.82,1704.83,1727.53,1750.74,1773.74,1796.18,1819.10,1842.04,1865.80,1889.86,1913.88,1938.30,1963.10,1988.30,2013.77
Sweden,296.12,293.14,290.14,281.88,292.93,305.34,310.05,319.75,333.00,347.09,364.07,370.35,378.07,387.50,402.22,413.53,434.00,449.34,446.10,423.23,447.35,459.64,459.77,465.37,477.98,498.10,510.33,522.38,535.21,543.35,550.98,558.57,567.33,575.59,584.27,593.76,602.95,612.15,620.93,629.90,638.79,647.57,656.71,665.82,674.92,683.97,693.10,702.61,711.82,720.94,730.26,739.83,749.26,758.46,767.88,777.39,787.07,796.85,806.70,816.67
Switzerland,462.93,459.16,458.39,457.82,463.88,466.34,468.83,479.74,493.81,501.99,522.43,529.13,530.11,530.51,544.43,561.63,584.52,608.52,621.37,607.53,624.99,636.46,642.85,654.92,671.20,679.73,690.51,702.13,719.80,728.68,736.53,746.78,757.62,769.92,781.54,792.99,804.21,816.03,828.36,840.82,852.82,863.33,873.41,883.73,894.47,904.67,915.25,926.28,936.81,947.55,958.35,968.77,979.36,989.92,1000.51,1011.15,1021.74,1032.24,1042.78,1053.33
United Kingdom,1741.69,1722.74,1729.13,1772.81,1841.86,1887.09,1934.93,2018.00,2085.43,2152.45,2226.78,2290.04,2347.28,2425.67,2482.62,2560.79,2626.04,2692.89,2683.57,2569.61,2613.58,2656.57,2695.01,2750.16,2831.22,2897.73,2949.58,3003.35,3045.33,3076.19,3091.10,3118.81,3159.23,3208.06,3258.19,3307.89,3358.60,3410.02,3460.97,3511.31,3562.16,3613.53,3666.77,3720.73,3774.46,3828.52,3883.24,3938.73,3994.48,4051.27,4109.60,4169.09,4227.85,4287.50,4347.13,4408.17,4470.06,4532.51,4595.71,4659.86
